Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
num-400000,ferret:eyes-2-pyramid-7-selectivity-1,2375.0,1.035875,0.175875,0.138125,3026.25,0.351875,8.7975,1.27375,1.50625,0.000498625,0.956375,0.0603125,2.072625e-05,2.5475,63.7125,0.05345,2147.5,0.019675,0.988479251718
num-400000,ferret:eyes-1-pyramid-16-selectivity-0,2316.25,1.038,0.1745,0.137875,2935.0,0.349,8.72875,1.2675,1.5325,0.000525875,0.96125,0.0567,1.97625e-05,2.53625,63.3875,0.0577625,2100.0,0.024225,0.990767906734
num-200000,stress:cpu_5_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.275,1.045,21425.0,2.55125,63.7625,1.225,54.7125,0.0025525,0.9995,0.01962,9.11e-07,2.4525,61.3,0.01088875,2100.0,0.00132525,1.65567810363
num-200000,stress:cpu_2_io_1_vm_4_vmbytes_128K,13675.0,1.0475,1.115,0.81375,18712.5,2.2275,55.6875,1.3675,4.45375,0.00023775,0.99175,0.0347875,1.86225e-06,2.73625,68.425,0.022355,2100.0,0.00361625,1.51580118044
num-200000,stress:cpu_4_io_0_vm_4_vmbytes_256K,17512.5,1.04875,1.2425,1.045,20862.5,2.4825,62.0625,1.19125,54.225,0.00260125,0.9995,0.02666875,1.283125e-06,2.38625,59.6375,0.01412875,2100.0,0.00184825,1.69820382927
num-200000,ferret:eyes-1-pyramid-16-selectivity-0,2378.75,1.05375,0.17825,0.139375,3042.5,0.356125,8.9075,1.28,1.47625,0.00048575,0.95625,0.0629,2.08125e-05,2.55625,63.9125,0.0597375,2136.25,0.024425,0.986592616712
num-200000,stress:cpu_2_io_1_vm_1_vmbytes_512K,7191.25,1.0475,0.757,0.427875,12737.5,1.5125,37.85,1.77,67.975,0.0053425,0.9995,0.0300125,2.355e-06,3.53875,88.4875,0.01610625,2100.0,0.002505,0.999915435053
num-200000,stress:cpu_5_io_2_vm_3_vmbytes_1M,17500.0,1.04875,1.215,1.045,20425.0,2.43125,60.7375,1.1675,162.0,0.00792875,1.0,0.029,1.424125e-06,2.335,58.4,0.01748125,2100.0,0.0033425,1.62728859646
num-200000,ferret:eyes-1-pyramid-16-selectivity-2,2327.5,1.05875,0.176375,0.138125,2977.5,0.353125,8.82375,1.27875,1.4375,0.00048325,0.97225,0.041445,1.4e-05,2.56,63.9875,0.03123875,2107.5,0.010705,0.982230457806
num-200000,ferret:eyes-2-pyramid-7-selectivity-1,2337.5,1.038625,0.17575,0.137125,2992.5,0.3515,8.7875,1.28,1.38625,0.000467875,0.963,0.0507625,1.7625e-05,2.56125,64.025,0.0482625,2127.5,0.01858875,0.985657795247
