,EXEC,FREQ,INST,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC%,MEM,GT,Pred
953,0.51475,0.533375,1.036123853211009,0.25725000000000003,0.96525,286.5,0.032825,1.0,0.0299625,3.43875e-06,0.482875,0.04421,1.04326678327,1.036301820505094
946,0.6175,0.524125,0.8494004796163069,0.30875,1.18,28.6875,0.00274875,0.99925,0.02686875,2.577125e-06,0.588875,0.04091,1.02846389408,1.0230038011397975
873,1.22222222222,0.684666666667,0.5612903225797399,0.6104444444439999,1.78444444444,3.01011111111,0.000145733333333,0.9797777777779999,0.0237777777778,1.12188888889e-06,0.892666666667,0.0416444444444,1.06635561124,1.0878186166614612
652,1.02384615385,0.654153846154,0.6389496717750183,0.511692307692,1.56384615385,53.2846153846,0.0030315384615399996,0.999615384615,0.02365,1.3334615384600001e-06,0.782384615385,0.02719615384612,1.05010878172,1.0651319233361762
308,0.40083333333300003,0.393333333333,0.9806107610266696,0.2005,1.02,201.0,0.029216666666700003,1.0,0.026096666666700002,3.823333333330001e-06,0.509666666667,0.036978333333400004,1.02690133,1.021094592009532
759,0.50825,0.52675,1.036231884057971,0.25425000000000003,0.96525,283.0,0.0328,0.99975,0.05785,6.7975e-06,0.48275,0.083725,1.04774710846,1.035081548293355
761,1.185,0.66025,0.5572139303482587,0.5935,1.7975,1.17,5.8225e-05,0.96025,0.03765,1.878e-06,0.89825,0.072025,1.05129575588,1.081261067215932
1006,0.4,0.3934,0.9838235294117647,0.2,1.016,200.4,0.029460000000000004,0.9998,0.03344,4.95e-06,0.5084000000000001,0.048692,1.01317781625,1.0212466983345925
1148,0.356714285714,0.263,0.7378755618636711,0.178285714286,1.3557142857100002,0.872714285714,0.00014442857142899998,0.9531428571430001,0.0430714285714,7.1057142857100004e-06,0.6774285714289999,0.1182714285714,1.02186718731,1.0268403595719684
1308,1.3166666666700002,0.7925,0.6031507876960193,0.6579999999999999,1.66166666667,1.431,6.43e-05,0.9806666666670001,0.02565,1.1465000000000002e-06,0.830166666667,0.043218333333299996,1.07757513473,1.1507899481823969
655,0.339857142857,0.416642857143,1.2260912821786412,0.17,0.942928571429,5.62,0.000888357142857,0.656142857143,1.8962142857099997,0.000316792857143,0.471642857143,4.34142857142,1.08934767543,1.0876174488595662
684,0.6182,0.5244,0.8490530303030303,0.30879999999999996,1.18,30.2,0.002858,0.9986,0.03802,3.612e-06,0.5896,0.05984,1.02025523812,1.0232565001949052
1358,0.514666666667,0.539666666667,1.0480756936455697,0.257333333333,0.954222222222,299.444444444,0.034455555555599995,1.0,0.02113,2.42888888889e-06,0.47700000000000004,0.030124444444399996,1.03212714202,1.0381852274704095
