,EXEC,L2MISS,L3MISS,L3HIT,MEM,L3MPI,L2MPI,INSTnom%,IPC,PhysIPC%,INST,FREQ,GT,Pred
2914,0.27643805309734504,0.01498847040737894,0.49896130247838055,0.3403433476394849,0.574686745602943,0.7165959591716721,0.022790999822831157,0.2765486725663717,0.6448318126106496,0.6459923664122138,0.5511161164115728,0.3199561150248297,1.0308119991246487,1.042417174789776
772,0.27721238938053094,0.014298616448885476,0.4554165257580881,0.36318550309966624,0.5833544085527073,0.6496128589630501,0.021653575857792477,0.2769542772861357,0.6458531935176356,0.6466284987277353,0.5506102630787182,0.3203314470493128,1.0257259339875773,1.0260217534437488
2402,0.4064159292035398,0.014012298232129137,0.4576066476641384,0.3507868383404864,0.5348483405317522,0.45146385516864784,0.014655406602492177,0.40619469026548677,0.9451177992646056,0.9471101417666302,0.37594027007166975,0.32064903568541403,1.0193587082309992,1.0290215471129458
3120,0.27824483775811204,0.013464642582628748,0.43535114417765747,0.35550786838340487,0.5460474384028816,0.6288346564735862,0.0206159570070277,0.27824483775811204,0.6498252303781378,0.6506043256997456,0.5468021046793462,0.31952303961196443,1.0257857014593386,1.0261910220156434
2009,0.4206581858407079,0.8914777094542661,0.3939803855258708,0.9922925608011445,0.4036728359581561,0.37268450455748303,0.8907606448945845,0.420271017699115,0.38232840800762624,0.3827528625954198,0.9301786147240204,0.8209377526273242,1.1103722760509689,1.2469646325085315
2926,0.2788901179941002,0.013424289008455033,0.4299402547627098,0.3600143061516452,0.5602253132543971,0.6155052435558168,0.020396858205870193,0.27901917404129806,0.6522084524944389,0.6520356234096691,0.5459034355664197,0.3197251414713015,1.0219072073925255,1.02109683829724
4174,0.2783738938053097,0.01360363822700487,0.43174388456769247,0.3658559847401049,0.5616124458750049,0.6188375967852592,0.02066556428276147,0.27798672566371696,0.6474420082618366,0.6483778625954197,0.5488623037195264,0.3209377526273241,1.032786511248628,1.0229454818049475
1255,0.6304203539823008,0.022140661029976944,0.39344895888690273,0.5277539341917025,0.4675230322040301,0.2482799176712731,0.014790054922340989,0.6305309734513275,0.8899632302873481,0.8899945474372954,0.39974588875961087,0.5297378450167454,1.0831329331848212,1.0764302560038608
1664,0.4051069321533923,0.013706764027671023,0.4475256453612896,0.33948497854077253,0.5261554968003985,0.4408507301773988,0.014332368747416283,0.40497787610619473,0.9397839211947887,0.9402035623409671,0.3784098792157635,0.32194826192400966,1.029009561180666,1.0247692888298907
476,0.4051069321533923,0.011388675377914426,0.3641077668808476,0.35834525512637105,0.4412928689121355,0.3557777124375183,0.011818933443571723,0.4047197640117994,0.9517000317762948,0.9529262086513994,0.3736262577940664,0.31770412287793043,1.0141167207487212,1.0258554475468835
2221,0.624004424778761,0.021625672559569563,0.3948016812406396,0.4967095851216023,0.46985367776263287,0.2525307682614356,0.014666036733006553,0.6236725663716816,0.8865586272640609,0.8880861504907306,0.4010186978885172,0.5257535512183854,1.0815907670411211,1.0657266213387517
3401,0.4170768805309734,0.8696195234435051,0.44420020290835294,0.9909155937052934,0.46907115760432233,0.42281681858276976,0.874948325754444,0.4169800884955752,0.37583412774070535,0.37631202290076327,0.9459782867057951,0.8282134195634598,1.2940938366199823,1.2126155047113825
3214,0.27914823008849554,0.013195618754804,0.4197948371096831,0.3643538388173581,0.5485688010116104,0.5923747917279232,0.01975196362133113,0.27876106194690264,0.652208452494439,0.6523536895674301,0.545542470967522,0.31952303961196443,1.030640156071526,1.0247768389260148
1985,0.4087527654867256,0.8612125288239817,0.667399391274941,0.9862839771101574,0.722669272330153,0.6495148485739488,0.8876601901612237,0.4086559734513274,0.3722592945662535,0.3727337786259542,0.9548973931839417,0.8194219886822958,1.2506646618193265,1.1934867076544828
1171,0.6280973451327434,0.023416602613374332,0.433450891347408,0.5221745350500716,0.5028814477854597,0.2742050657369681,0.015686529262387054,0.6285398230088497,0.8858777066594032,0.8871319520174483,0.4021783027901403,0.5300843053470378,1.0836477440125234,1.0712138942798695
3455,0.42068584070796455,0.8558800922367411,0.38050147350113533,0.9922746781115879,0.41230486262788835,0.3588860419204435,0.8525364672532925,0.4205752212389381,0.37648100231513,0.3766357688113413,0.9438824922710031,0.8339300150132809,1.1895800627929325,1.201425989627264
3483,0.9630807522123892,0.2756821675634128,0.3330909705782888,0.9773962804005722,0.4086762846304172,0.13810643928256394,0.12063869367507234,0.9619192477876105,0.742373689227836,0.7429627862595422,0.4795469218889618,0.9672089733225545,1.2470741035439443,1.2359458096558387
4077,0.9340431415929202,0.2712432744043044,0.39753128170443014,0.9721387696709586,0.4594206230601219,0.16862687444869154,0.12187887556841669,0.9330752212389382,0.7167540514775975,0.7182729007633586,0.494821236595947,0.970392077607114,1.228618627475376,1.171237094668403
2688,0.2783738938053097,0.013756085062772228,0.4423402096719648,0.3581783500238437,0.5681725868873817,0.6335391551504459,0.020892930963207938,0.27824483775811204,0.6482364156339371,0.6490139949109415,0.5479605584231635,0.3201293451899757,1.0304329100875271,1.023877162338739
2857,0.6301806784660766,0.018508839354342815,0.4191184759328147,0.4526466380543634,0.5075755834003909,0.2626678427913358,0.012281934683753616,0.6303097345132744,0.9223069590085795,0.9220737913486005,0.3861677334474946,0.5109135004042036,1.0250365687777423,1.0413087020658216
2,0.4061393805309735,0.013536382270048684,0.43264569947018366,0.3561754887935145,0.514932750890907,0.41968048613152986,0.013931376601901616,0.4057522123893806,0.9413727359389894,0.940998727735369,0.377633187011532,0.32215036378334677,0.9868585393036066,1.0286140440618257
1743,0.9853429203539822,0.29558993082244434,0.30706797429827526,0.9806509298998569,0.39086676629497646,0.12447809467803587,0.12618850764778836,0.9863108407079646,0.7530981887511915,0.7536975190839694,0.47259645358742985,0.9776677445432498,1.2743906466270396,1.2666132102391403
1747,0.6350663716814158,0.02238662567255957,0.4429199478235663,0.4789699570815451,0.5212159033057986,0.2790775822237157,0.014903442981161044,0.6351769911504425,0.8886013890780334,0.8895856052344602,0.4010267494057435,0.5340685991453977,1.0544653574140148,1.0526353429870023
3887,0.4105088495575221,0.7893927747886242,0.39055026812889504,0.9912732474964234,0.44058266138965063,0.37753601881799465,0.806118230673832,0.41061946902654867,0.37675337055699304,0.3771810250817884,0.9438469951585461,0.81314239519575,1.1197808395303688,1.134101404293738
2060,0.40639749262536873,0.01374263387138099,0.4626310449780182,0.32713400095374345,0.54389853239836,0.4530040184259531,0.014266225713104588,0.4067846607669617,0.9453447727994911,0.9451335877862594,0.37620617225071085,0.3209377526273241,1.0219643289621076,1.0223285314357669
607,0.6384402654867255,0.017647963105303612,0.35554052530718067,0.5058893657606104,0.43393186956355145,0.22209154170342052,0.011665977676725921,0.6388274336283187,0.9405783285668888,0.9400445292620866,0.37873096367386333,0.50767987065481,1.0542282425248148,1.0771335709328953
1907,0.407853982300885,0.8112990007686396,0.44852408328904775,0.9904148783977111,0.5128274185867013,0.43516612760952655,0.8344652453788458,0.40796460176991156,0.36973988832902077,0.37009269356597596,0.9612930196702639,0.8233629749393694,1.146572685954702,1.1287683350390152
4173,0.9379148230088491,0.2952536510376634,0.3226919174839364,0.979774678111588,0.40425566157029547,0.13513672449279623,0.13248243075651095,0.9371404867256637,0.7203288846520496,0.720777671755725,0.49346623824832864,0.9714531123686336,1.2609778398981464,1.2441866833977413
3947,0.41648230088495575,0.7913143735588011,0.3967341417459781,0.9912732474964234,0.4496805872596194,0.37669592976855537,0.7930077363727633,0.41681415929203547,0.37450633256162325,0.37499999999999994,0.9488590988811065,0.8299457212149208,1.1157549724474105,1.1435735389829444
1101,0.9081858407079646,0.29054573405073025,0.36871346441857084,0.9761087267525035,0.4493101013252755,0.16148191708321077,0.13507352506939113,0.9061946902654867,0.6965817785646193,0.6977917121046892,0.5102713442810153,0.9704353851484006,1.2286888591106655,1.1835710188474262
2923,0.635084808259587,0.02114078913656162,0.4164130312253409,0.4643299952312829,0.501337318465724,0.2609036557875134,0.014026457213724678,0.6349557522123895,0.8929138862408642,0.8944020356234098,0.398062200457341,0.5313257881972513,1.06039589060033,1.0460830018409248
2692,0.27747050147492625,0.014069946195234438,0.45361289595310555,0.35584167858845966,0.5863126029811856,0.643144173282368,0.021145101281521292,0.27772861356932155,0.6466476008897363,0.6479007633587786,0.5491900598251266,0.3201293451899757,1.0202846079055818,1.0258315919379917
1097,0.4040929203539823,0.7425057647963106,0.4724865935552442,0.988698140200286,0.5680981393592038,0.4660814046288905,0.7756451898659421,0.4042035398230089,0.36674383766852786,0.367093784078517,0.9690922924936415,0.8223235939484929,1.0887247837114855,1.070067594352733
3847,0.6306415929203538,0.025249807840122977,0.4492970674911832,0.5035765379113019,0.5277125449559064,0.2827739740412482,0.016802692966396974,0.6305309734513275,0.872940215170911,0.8747273718647766,0.40772850995263227,0.5399584247603648,1.0832955930511279,1.0577224999437969
2674,0.27422566371681406,0.014961568024596469,0.4912314604570269,0.34763948497854075,0.6237695630039577,0.7071869618179526,0.022812260083859913,0.27433628318584075,0.6407462889827046,0.6412213740458016,0.555008179380581,0.3196096546945375,1.0277626980033876,1.0261690502462097
4065,0.9582411504424776,0.2723529976940815,0.33243151843084207,0.9771459227467811,0.3896407633061272,0.1362540429285504,0.11853038445638693,0.9584347345132744,0.7364156339370829,0.737476145038168,0.48272114260760113,0.971149959579628,1.29951129564188,1.269465841299394
3250,0.27863200589970494,0.01331219574686139,0.4236275504452712,0.36402002861230326,0.5470667126489634,0.5984514358522003,0.019950392724266228,0.27876106194690264,0.6490308230060373,0.6493320610687022,0.5480142926704193,0.32073565076798705,1.0319954796496011,1.027731581766807
1434,0.27721238938053094,0.013374967973353831,0.43399842182392057,0.3521697663328565,0.5548300570946852,0.6247182201313338,0.020425795783381565,0.27721238938053105,0.6466476008897363,0.6477417302798981,0.5494432520470671,0.3197251414713015,1.025340294396011,1.0252494571135837
2228,0.40549410029498517,0.014087881117089422,0.47367827753353614,0.32863614687649023,0.4844618155343525,0.4630010781142801,0.014605208763952044,0.4054941002949852,0.9461391801715919,0.9462468193384225,0.37585074437935573,0.31992724333063866,1.0297649555758688,1.0657476584613181
